source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
TmY5a,77,Cluster7,100-699 cells,Y3,77,Cluster7,100-699 cells,15496,Top Output,Inhibition,top_output
LMa5,23,Cluster7,1-99 cells,Lawf2,23,Lawf2,100-699 cells,5312,Top Input,Inhibition,top_input
Tm1,97,Cluster8,700+ cells,Pm02,97,Cluster7,1-99 cells,69163,Top Input,Excitation,top_input
Pm02,29,Cluster7,1-99 cells,T3,29,Cluster7,700+ cells,10933,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LC14a1,92,Boundary,1-99 cells,1107,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,Pm10,96,Cluster7,1-99 cells,9922,Top Input,Inhibition,top_input
Pm10,22,Cluster7,1-99 cells,TmY14,22,Cluster7,100-699 cells,6816,Top Output,Inhibition,top_output
Pm10,22,Cluster7,1-99 cells,Pm05,22,Cluster7,1-99 cells,6625,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,LLPt,50,Cluster1,1-99 cells,2868,Top Input,Excitation,top_input
LLPt,24,Cluster1,1-99 cells,TmY14,24,Cluster7,100-699 cells,3034,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,Mi14,93,Cluster7,100-699 cells,7274,Top Input,Excitation,top_input
Mi14,33,Cluster7,100-699 cells,Tm1,33,Cluster8,700+ cells,2722,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Pm05,100,Cluster7,1-99 cells,39349,Top Input,Excitation,top_input
Pm05,27,Cluster7,1-99 cells,LMa5,27,Cluster7,1-99 cells,9018,Top Output,Inhibition,top_output
Li15,22,Cluster7,1-99 cells,LC11,22,Boundary,1-99 cells,5347,Top Output,Inhibition,top_output
T3,100,Cluster7,700+ cells,Li16,100,Cluster7,1-99 cells,6391,Top Input,Excitation,top_input
Li16,22,Cluster7,1-99 cells,T3,22,Cluster7,700+ cells,3337,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Tm27,100,Cluster7,100-699 cells,24145,Top Input,Excitation,top_input
Tm27,76,Cluster7,100-699 cells,Mi4,76,Cluster1,700+ cells,3582,Top Output,Excitation,top_output
Tm3,100,Cluster9,700+ cells,Li21,100,Cluster7,1-99 cells,12168,Top Input,Excitation,top_input
Li21,21,Cluster7,1-99 cells,Tm21,21,Cluster7,100-699 cells,2780,Top Output,Inhibition,top_output
Li21,21,Cluster7,1-99 cells,T3,21,Cluster7,700+ cells,2696,Top Output,Inhibition,top_output
LMt3,22,Cluster7,1-99 cells,Pm13,22,Cluster1,1-99 cells,1387,Top Input,Inhibition,top_input
Pm13,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,3486,Top Output,Inhibition,top_output
T2a,100,Cluster7,700+ cells,LC14b,100,Boundary,1-99 cells,2484,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,Li31,93,Cluster7,1-99 cells,5607,Top Input,Excitation,top_input
Li31,20,Cluster7,1-99 cells,LC21,20,Boundary,1-99 cells,3164,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,MTe54,50,Boundary,1-99 cells,2711,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,MTe54,77,Boundary,1-99 cells,2648,Top Input,Inhibition,top_input
TmY14,38,Cluster7,100-699 cells,Pm07,38,Cluster7,1-99 cells,3192,Top Input,Inhibition,top_input
Pm07,22,Cluster7,1-99 cells,Pm09,22,Cluster7,1-99 cells,5254,Top Output,Inhibition,top_output
Li03,25,Cluster1,1-99 cells,Li17,25,Cluster7,1-99 cells,819,Top Output,Inhibition,top_output
TmY5a,77,Cluster7,100-699 cells,Li02,77,Cluster1,1-99 cells,1843,Top Input,Inhibition,top_input
Tm25,55,Cluster7,100-699 cells,LTe26,55,Boundary,1-99 cells,6655,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,LC37a,77,Boundary,1-99 cells,477,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LC28a,50,Boundary,1-99 cells,2288,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,LT78,77,Boundary,1-99 cells,734,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,Li05,50,Cluster1,1-99 cells,2616,Top Input,Excitation,top_input
Tm27,76,Cluster7,100-699 cells,LC22,76,Boundary,1-99 cells,2509,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,LC20b,77,Boundary,1-99 cells,3897,Top Input,Inhibition,top_input
Tm5f,60,Cluster1,100-699 cells,Li06,60,Cluster7,1-99 cells,5762,Top Input,Excitation,top_input
Li06,29,Cluster7,1-99 cells,LMa2,29,Cluster7,1-99 cells,4954,Top Output,Excitation,top_output
TmY5a,77,Cluster7,100-699 cells,Sm13,77,Cluster3,1-99 cells,879,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,TmY3,96,Cluster7,100-699 cells,17201,Top Input,Inhibition,top_input
TmY3,56,Cluster7,100-699 cells,LC4,56,Boundary,1-99 cells,9641,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,LMa5,100,Cluster7,1-99 cells,23841,Top Input,Excitation,top_input
LMa5,23,Cluster7,1-99 cells,Pm03,23,Cluster7,1-99 cells,19306,Top Output,Inhibition,top_output
T2a,100,Cluster7,700+ cells,LMt2,100,Cluster7,1-99 cells,21256,Top Input,Excitation,top_input
LMt2,23,Cluster7,1-99 cells,T2a,23,Cluster7,700+ cells,5134,Top Output,Inhibition,top_output
L4,92,Cluster8,700+ cells,MLt3,92,Cluster7,1-99 cells,3368,Top Input,Excitation,top_input
MLt3,26,Cluster7,1-99 cells,Tm4,26,Cluster8,700+ cells,2252,Top Output,Excitation,top_output
T2a,100,Cluster7,700+ cells,Y4,100,Cluster7,1-99 cells,3698,Top Input,Excitation,top_input
Y4,28,Cluster7,1-99 cells,TmY14,28,Cluster7,100-699 cells,4726,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LC18,92,Boundary,1-99 cells,12693,Top Input,Excitation,top_input
LPi13,20,Cluster11,1-99 cells,TmY14,20,Cluster7,100-699 cells,7854,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LMa3,92,Cluster7,1-99 cells,8949,Top Input,Excitation,top_input
LMa3,22,Cluster7,1-99 cells,T2a,22,Cluster7,700+ cells,3172,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LT66,92,Boundary,1-99 cells,1053,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,T2a,97,Cluster7,700+ cells,34647,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T2a,100,Cluster7,700+ cells,34086,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LC17,100,Boundary,100-699 cells,33472,Top Output,Excitation,top_output
T2a,100,Cluster7,700+ cells,LC17,100,Boundary,100-699 cells,33472,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Pm09,97,Cluster7,1-99 cells,14261,Top Input,Excitation,top_input
Pm09,24,Cluster7,1-99 cells,Pm05,24,Cluster7,1-99 cells,10411,Top Output,Inhibition,top_output
Y12,30,Cluster11,1-99 cells,TmY14,30,Cluster7,100-699 cells,7789,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LC4,92,Boundary,1-99 cells,10539,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,LC11,100,Boundary,1-99 cells,19690,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,87781,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,87781,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMt4,92,Cluster7,1-99 cells,4327,Top Input,Excitation,top_input
LMt4,22,Cluster7,1-99 cells,LMa3,22,Cluster7,1-99 cells,4826,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T3,100,Cluster7,700+ cells,42739,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,Li17,100,Cluster7,1-99 cells,22658,Top Output,Excitation,top_output
T3,100,Cluster7,700+ cells,Li17,100,Cluster7,1-99 cells,22658,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm06,97,Cluster7,1-99 cells,16939,Top Input,Excitation,top_input
Pm06,22,Cluster7,1-99 cells,Tm1,22,Cluster8,700+ cells,10957,Top Output,Inhibition,top_output
Pm03,29,Cluster7,1-99 cells,Pm04,29,Cluster7,1-99 cells,13366,Top Output,Inhibition,top_output
Pm03,29,Cluster7,1-99 cells,Tm1,29,Cluster8,700+ cells,12777,Top Output,Inhibition,top_output
LMa5,23,Cluster7,1-99 cells,Mi13,23,Cluster7,100-699 cells,5990,Top Input,Inhibition,top_input
Mi13,55,Cluster7,100-699 cells,Tm1,55,Cluster8,700+ cells,15738,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Mi2,100,Cluster7,100-699 cells,8530,Top Input,Excitation,top_input
Mi2,63,Cluster7,100-699 cells,Tm21,63,Cluster7,100-699 cells,10218,Top Output,Inhibition,top_output
LMt4,22,Cluster7,1-99 cells,LMa4,22,Cluster7,1-99 cells,2213,Top Input,Inhibition,top_input
T2,92,Cluster7,700+ cells,LMa4,92,Cluster7,1-99 cells,2128,Top Input,Excitation,top_input
LMa4,21,Cluster7,1-99 cells,T2a,21,Cluster7,700+ cells,812,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,Tm21,97,Cluster7,100-699 cells,20498,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,LC11,82,Boundary,1-99 cells,5590,Top Output,Excitation,top_output
Tm21,82,Cluster7,100-699 cells,LC21,82,Boundary,1-99 cells,5436,Top Output,Excitation,top_output
Tm21,82,Cluster7,100-699 cells,Li25,82,Cluster10,1-99 cells,5316,Top Output,Excitation,top_output
Tm21,82,Cluster7,100-699 cells,Li25,82,Cluster10,1-99 cells,5316,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5464,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5256,Top Input,Excitation,top_input
TmY16,28,Cluster7,1-99 cells,Mi4,28,Cluster1,700+ cells,11499,Top Output,Inhibition,top_output
LPi10,22,Cluster11,1-99 cells,TmY14,22,Cluster7,100-699 cells,6919,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,TmY15,93,Cluster7,100-699 cells,16669,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,TmY15,100,Cluster7,100-699 cells,16294,Top Input,Excitation,top_input
TmY15,35,Cluster7,100-699 cells,TmY14,35,Cluster7,100-699 cells,10574,Top Output,Inhibition,top_output
Am1,20,Cluster11,1-99 cells,TmY14,20,Cluster7,100-699 cells,5418,Top Output,Inhibition,top_output
Y1,28,Cluster11,1-99 cells,TmY14,28,Cluster7,100-699 cells,7551,Top Output,Inhibition,top_output
TmY20,34,Cluster11,100-699 cells,TmY14,34,Cluster7,100-699 cells,3778,Top Output,Excitation,top_output
Pm01,32,Cluster7,100-699 cells,T3,32,Cluster7,700+ cells,10810,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LMa1,92,Cluster7,1-99 cells,6194,Top Input,Excitation,top_input
LMa1,23,Cluster7,1-99 cells,Li17,23,Cluster7,1-99 cells,6151,Top Output,Inhibition,top_output
Tm36,34,Cluster1,100-699 cells,TmY5a,34,Cluster7,100-699 cells,2406,Top Output,Excitation,top_output
Dm16,24,Cluster8,1-99 cells,T2,24,Cluster7,700+ cells,2503,Top Output,Inhibition,top_output
Pm05,27,Cluster7,1-99 cells,MTe47,27,Boundary,1-99 cells,425,Top Input,Inhibition,top_input
Tlp1,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,4611,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LMt3,92,Cluster7,1-99 cells,1531,Top Input,Excitation,top_input
LMt3,22,Cluster7,1-99 cells,Pm03,22,Cluster7,1-99 cells,4251,Top Output,Inhibition,top_output
T3,100,Cluster7,700+ cells,LC21,100,Boundary,1-99 cells,7033,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Tm25,100,Cluster7,100-699 cells,9729,Top Input,Excitation,top_input
Tm25,55,Cluster7,100-699 cells,LT11,55,Boundary,1-99 cells,9878,Top Output,Excitation,top_output
Tm25,55,Cluster7,100-699 cells,LT11,55,Boundary,1-99 cells,9878,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,LC31a,82,Boundary,1-99 cells,941,Top Input,Excitation,top_input
Li17,24,Cluster7,1-99 cells,LC17,24,Boundary,100-699 cells,9361,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,LT57,50,Boundary,1-99 cells,1045,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li30,50,Cluster1,1-99 cells,7486,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li32,50,Cluster1,1-99 cells,8381,Top Input,Excitation,top_input
Li32,20,Cluster1,1-99 cells,Y3,20,Cluster7,100-699 cells,4639,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,Li24,92,Cluster7,1-99 cells,3782,Top Input,Excitation,top_input
Li24,21,Cluster7,1-99 cells,LPLC1,21,Boundary,1-99 cells,1711,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,LTe21,50,Boundary,1-99 cells,502,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,MTe42,22,Boundary,1-99 cells,655,Top Input,Inhibition,top_input
TmY5a,77,Cluster7,100-699 cells,LC20a,77,Boundary,1-99 cells,2378,Top Input,Inhibition,top_input
Pm08,26,Cluster7,1-99 cells,MLt4,26,Cluster7,1-99 cells,3210,Top Input,Inhibition,top_input
MLt4,24,Cluster7,1-99 cells,Pm10,24,Cluster7,1-99 cells,2020,Top Output,Excitation,top_output
MLt4,24,Cluster7,1-99 cells,Tm16,24,Cluster1,100-699 cells,1975,Top Output,Excitation,top_output
TmY3,56,Cluster7,100-699 cells,OA-AL2i2,56,Boundary,1-99 cells,308,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,19495,Top Output,Excitation,top_output
Li26,20,Cluster8,1-99 cells,LMa2,20,Cluster7,1-99 cells,1617,Top Output,Inhibition,top_output
LMa2,22,Cluster7,1-99 cells,LMt1,22,Cluster7,1-99 cells,1714,Top Input,Inhibition,top_input
Li31,20,Cluster7,1-99 cells,LMt1,20,Cluster7,1-99 cells,1694,Top Input,Inhibition,top_input
LMt1,22,Cluster7,1-99 cells,LC11,22,Boundary,1-99 cells,2133,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LCe07,92,Boundary,1-99 cells,2135,Top Input,Excitation,top_input
Li06,29,Cluster7,1-99 cells,LT87,29,Boundary,1-99 cells,4056,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LT82a,100,Boundary,1-99 cells,1466,Top Input,Excitation,top_input
LMt1,22,Cluster7,1-99 cells,LT74,22,Boundary,1-99 cells,161,Top Input,Inhibition,top_input
Tm2,97,Cluster8,700+ cells,Pm04,97,Cluster7,1-99 cells,22565,Top Input,Excitation,top_input
Pm04,24,Cluster7,1-99 cells,T2a,24,Cluster7,700+ cells,8693,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,Li20,93,Cluster7,1-99 cells,1131,Top Input,Excitation,top_input
Li20,20,Cluster7,1-99 cells,T3,20,Cluster7,700+ cells,1351,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LMa2,92,Cluster7,1-99 cells,9905,Top Input,Excitation,top_input
LMa2,22,Cluster7,1-99 cells,T2a,22,Cluster7,700+ cells,7734,Top Output,Inhibition,top_output
LMa5,23,Cluster7,1-99 cells,LT56,23,Boundary,1-99 cells,1118,Top Input,Inhibition,top_input
T3,100,Cluster7,700+ cells,LT1d,100,Boundary,1-99 cells,16041,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LT1b,100,Boundary,1-99 cells,15755,Top Input,Excitation,top_input
Li25,20,Cluster10,1-99 cells,LC11,20,Boundary,1-99 cells,872,Top Output,Inhibition,top_output
T2a,100,Cluster7,700+ cells,LT1a,100,Boundary,1-99 cells,16210,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LT83,100,Boundary,1-99 cells,6416,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LT62,100,Boundary,1-99 cells,7869,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Li27,77,Cluster1,1-99 cells,3348,Top Input,Inhibition,top_input
L4,92,Cluster8,700+ cells,MLt1,92,Cluster7,1-99 cells,1591,Top Input,Excitation,top_input
MLt1,24,Cluster7,1-99 cells,L5,24,Cluster9,700+ cells,3169,Top Output,Excitation,top_output
Sm05,27,Cluster5,1-99 cells,TmY3,27,Cluster7,100-699 cells,2973,Top Output,Inhibition,top_output
Pm12,20,Cluster8,1-99 cells,T2,20,Cluster7,700+ cells,3950,Top Output,Inhibition,top_output
Pm09,24,Cluster7,1-99 cells,PDt,24,Cluster7,1-99 cells,967,Top Input,Inhibition,top_input
PDt,21,Cluster7,1-99 cells,Dm18,21,Cluster9,1-99 cells,1171,Top Output,Excitation,top_output
Li31,20,Cluster7,1-99 cells,LT60,20,Boundary,1-99 cells,317,Top Input,Inhibition,top_input
T2a,100,Cluster7,700+ cells,LT80,100,Boundary,1-99 cells,1038,Top Input,Excitation,top_input
Li06,29,Cluster7,1-99 cells,LC31b,29,Boundary,1-99 cells,998,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,LPT31,50,Boundary,1-99 cells,337,Top Input,Excitation,top_input
L4,92,Cluster8,700+ cells,TmY3,92,Cluster7,100-699 cells,15482,Top Output,Excitation,top_output
Y3,50,Cluster7,100-699 cells,Li29,50,Cluster1,1-99 cells,1035,Top Input,Excitation,top_input
Li29,20,Cluster1,1-99 cells,Y3,20,Cluster7,100-699 cells,2010,Top Output,Inhibition,top_output
Tm25,55,Cluster7,100-699 cells,LC25,55,Boundary,1-99 cells,5702,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,LTe20,50,Boundary,1-99 cells,204,Top Input,Excitation,top_input
TmY15,35,Cluster7,100-699 cells,LPT52,35,Boundary,1-99 cells,165,Top Input,Inhibition,top_input
Tm27,76,Cluster7,100-699 cells,LT61a,76,Boundary,1-99 cells,3399,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,mALC4,100,Boundary,1-99 cells,223,Top Input,Excitation,top_input
Li06,29,Cluster7,1-99 cells,LC31c,29,Boundary,1-99 cells,446,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,LT61b,82,Boundary,1-99 cells,2688,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,LT1c,82,Boundary,1-99 cells,1645,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,LC39,77,Boundary,1-99 cells,264,Top Input,Inhibition,top_input
TmY14,38,Cluster7,100-699 cells,cMLLP01,38,Boundary,1-99 cells,12,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,mALC5,50,Boundary,1-99 cells,101,Top Input,Excitation,top_input
Tm34,24,Cluster1,1-99 cells,TmY5a,24,Cluster7,100-699 cells,1812,Top Output,Inhibition,top_output
Tm21,82,Cluster7,100-699 cells,Li19,82,Cluster10,1-99 cells,4555,Top Input,Excitation,top_input
Li19,20,Cluster10,1-99 cells,Li06,20,Cluster7,1-99 cells,694,Top Output,Inhibition,top_output
T3,100,Cluster7,700+ cells,cL20,100,Boundary,1-99 cells,64,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,MTe13,22,Boundary,1-99 cells,790,Top Input,Inhibition,top_input
Pm10,22,Cluster7,1-99 cells,MTe18,22,Boundary,1-99 cells,335,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,cL11,50,Boundary,1-99 cells,127,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,MTe08,22,Boundary,1-99 cells,997,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LPT53,50,Boundary,1-99 cells,34,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,cM05,22,Boundary,1-99 cells,78,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LT39,50,Boundary,1-99 cells,91,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,cL13,50,Boundary,1-99 cells,112,Top Input,Excitation,top_input
MLt1,24,Cluster7,1-99 cells,cL01,24,Boundary,1-99 cells,2,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,cL01,50,Boundary,1-99 cells,2,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,LPT54,22,Boundary,1-99 cells,483,Top Input,Inhibition,top_input
MLt1,24,Cluster7,1-99 cells,aMe20,24,Boundary,1-99 cells,173,Top Input,Excitation,top_input
TmY3,56,Cluster7,100-699 cells,cL18,56,Boundary,1-99 cells,106,Top Input,Excitation,top_input
TmY3,56,Cluster7,100-699 cells,LT38,56,Boundary,1-99 cells,80,Top Input,Excitation,top_input
Y4,28,Cluster7,1-99 cells,cL21,28,Boundary,1-99 cells,39,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LT40,50,Boundary,1-99 cells,33,Top Input,Excitation,top_input
Pm10,22,Cluster7,1-99 cells,cLLPM02,22,Boundary,1-99 cells,10,Top Input,Inhibition,top_input
LMa4,21,Cluster7,1-99 cells,mALC3,21,Boundary,1-99 cells,7,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LT41,50,Boundary,1-99 cells,7,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,cL08,100,Boundary,1-99 cells,21,Top Input,Excitation,top_input
