source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm9,94,Cluster12,700+ cells,15428,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Output,Excitation,top_output
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Sm42,36,Cluster1,1-99 cells,6255,Top Input,Excitation,top_input
Sm42,20,Cluster1,1-99 cells,Sm07,20,Cluster3,100-699 cells,2664,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Output,Inhibition,top_output
TmY11,38,Cluster1,100-699 cells,TmY15,38,Cluster7,100-699 cells,4577,Top Output,Excitation,top_output
Tm8a,32,Cluster1,100-699 cells,Sm09,32,Cluster3,1-99 cells,3356,Top Input,Excitation,top_input
Sm09,28,Cluster3,1-99 cells,Tm5b,28,Cluster1,100-699 cells,2854,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm4,99,Cluster8,700+ cells,44157,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Output,Excitation,top_output
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm5c,94,Cluster1,100-699 cells,7702,Top Input,Excitation,top_input
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Output,Inhibition,top_output
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,TmY10,96,Cluster1,100-699 cells,4861,Top Input,Inhibition,top_input
TmY10,42,Cluster1,100-699 cells,Mi4,42,Cluster1,700+ cells,7982,Top Output,Excitation,top_output
L3,94,L3,700+ cells,Tm20,94,Cluster1,700+ cells,15994,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Output,Excitation,top_output
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Input,Excitation,top_input
TmY11,38,Cluster1,100-699 cells,Li11,38,Cluster1,1-99 cells,1896,Top Input,Excitation,top_input
Li11,23,Cluster1,1-99 cells,Li06,23,Cluster7,1-99 cells,1564,Top Output,Inhibition,top_output
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Output,Excitation,top_output
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Input,Excitation,top_input
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Output,Excitation,top_output
Lawf1,35,Cluster13,100-699 cells,L3,35,L3,700+ cells,9104,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,Pm08,100,Cluster7,1-99 cells,61797,Top Input,Excitation,top_input
Pm08,26,Cluster7,1-99 cells,Tm1,26,Cluster8,700+ cells,26905,Top Output,Inhibition,top_output
Mi9,97,Cluster5,700+ cells,Pm14,97,Cluster1,1-99 cells,4815,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm14,96,Cluster1,1-99 cells,4759,Top Input,Inhibition,top_input
Pm14,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,4623,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,Li33,36,Cluster1,1-99 cells,4572,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Y3,77,Cluster7,100-699 cells,15496,Top Output,Inhibition,top_output
LMa5,23,Cluster7,1-99 cells,Lawf2,23,Lawf2,100-699 cells,5312,Top Input,Inhibition,top_input
Lawf2,37,Lawf2,100-699 cells,Lai,37,Cluster13,100-699 cells,30330,Top Output,Excitation,top_output
Lawf2,37,Lawf2,100-699 cells,Lai,37,Cluster13,100-699 cells,30330,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Li01,94,Cluster1,1-99 cells,2338,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li28,41,Cluster1,1-99 cells,4763,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li28,41,Cluster1,1-99 cells,4763,Top Output,Excitation,top_output
Li28,20,Cluster1,1-99 cells,Tm5f,20,Cluster1,100-699 cells,1813,Top Output,Inhibition,top_output
L5,98,Cluster9,700+ cells,Mi4,98,Cluster1,700+ cells,28371,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,Mi9,96,Cluster5,700+ cells,33577,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm2,99,Cluster8,700+ cells,76722,Top Input,Excitation,top_input
Li18,22,Cluster1,1-99 cells,Tm5f,22,Cluster1,100-699 cells,10452,Top Input,Inhibition,top_input
Li18,22,Cluster1,1-99 cells,Tm5f,22,Cluster1,100-699 cells,10452,Top Output,Inhibition,top_output
TmY9q,37,Cluster2,100-699 cells,Li23,37,Cluster1,1-99 cells,472,Top Input,Excitation,top_input
Li23,20,Cluster1,1-99 cells,TmY10,20,Cluster1,100-699 cells,211,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,Pm02,97,Cluster7,1-99 cells,69163,Top Input,Excitation,top_input
Pm02,29,Cluster7,1-99 cells,T3,29,Cluster7,700+ cells,10933,Top Output,Inhibition,top_output
Mi9,97,Cluster5,700+ cells,Mi10,97,Cluster1,100-699 cells,12397,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm10,96,Cluster7,1-99 cells,9922,Top Input,Inhibition,top_input
Pm10,22,Cluster7,1-99 cells,TmY14,22,Cluster7,100-699 cells,6816,Top Output,Inhibition,top_output
Pm10,22,Cluster7,1-99 cells,Pm05,22,Cluster7,1-99 cells,6625,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,LLPt,50,Cluster1,1-99 cells,2868,Top Input,Excitation,top_input
LLPt,24,Cluster1,1-99 cells,TmY14,24,Cluster7,100-699 cells,3034,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,Mi14,93,Cluster7,100-699 cells,7274,Top Input,Excitation,top_input
Mi14,33,Cluster7,100-699 cells,Tm1,33,Cluster8,700+ cells,2722,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Pm05,100,Cluster7,1-99 cells,39349,Top Input,Excitation,top_input
Pm05,27,Cluster7,1-99 cells,LMa5,27,Cluster7,1-99 cells,9018,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,Li10,36,Cluster1,1-99 cells,11799,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Li10,36,Cluster1,1-99 cells,11799,Top Output,Excitation,top_output
Li10,29,Cluster1,1-99 cells,Li12,29,Cluster1,1-99 cells,2426,Top Output,Inhibition,top_output
L3,94,L3,700+ cells,Dm4,94,Cluster5,1-99 cells,6024,Top Input,Excitation,top_input
Dm4,24,Cluster5,1-99 cells,Mi4,24,Cluster1,700+ cells,21929,Top Output,Inhibition,top_output
T3,100,Cluster7,700+ cells,Li16,100,Cluster7,1-99 cells,6391,Top Input,Excitation,top_input
Li16,22,Cluster7,1-99 cells,T3,22,Cluster7,700+ cells,3337,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Tm27,100,Cluster7,100-699 cells,24145,Top Input,Excitation,top_input
Tm27,76,Cluster7,100-699 cells,Mi4,76,Cluster1,700+ cells,3582,Top Output,Excitation,top_output
Tm3,100,Cluster9,700+ cells,Li21,100,Cluster7,1-99 cells,12168,Top Input,Excitation,top_input
Li21,21,Cluster7,1-99 cells,Tm21,21,Cluster7,100-699 cells,2780,Top Output,Inhibition,top_output
Li21,21,Cluster7,1-99 cells,T3,21,Cluster7,700+ cells,2696,Top Output,Inhibition,top_output
Tm9,95,Cluster12,700+ cells,T5c,95,Cluster12,700+ cells,18434,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3v,97,Cluster2,100-699 cells,10959,Top Input,Excitation,top_input
Dm3v,52,Cluster2,100-699 cells,TmY4,52,Cluster2,100-699 cells,8060,Top Output,Inhibition,top_output
Dm3v,52,Cluster2,100-699 cells,TmY4,52,Cluster2,100-699 cells,8060,Top Input,Inhibition,top_input
Li30,20,Cluster1,1-99 cells,TmY31,20,Cluster1,100-699 cells,6008,Top Input,Excitation,top_input
Li30,20,Cluster1,1-99 cells,TmY31,20,Cluster1,100-699 cells,6008,Top Output,Excitation,top_output
Li10,29,Cluster1,1-99 cells,Tm32,29,Cluster1,1-99 cells,1619,Top Input,Inhibition,top_input
Tm32,28,Cluster1,1-99 cells,TmY10,28,Cluster1,100-699 cells,1180,Top Output,Inhibition,top_output
LMt3,22,Cluster7,1-99 cells,Pm13,22,Cluster1,1-99 cells,1387,Top Input,Inhibition,top_input
Pm13,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,3486,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,Li31,93,Cluster7,1-99 cells,5607,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Tm8b,97,Cluster1,1-99 cells,3237,Top Input,Inhibition,top_input
Tm8b,26,Cluster1,1-99 cells,Li33,26,Cluster1,1-99 cells,1604,Top Output,Excitation,top_output
TmY14,38,Cluster7,100-699 cells,Pm07,38,Cluster7,1-99 cells,3192,Top Input,Inhibition,top_input
Pm07,22,Cluster7,1-99 cells,Pm09,22,Cluster7,1-99 cells,5254,Top Output,Inhibition,top_output
Li13,23,Cluster1,1-99 cells,Li03,23,Cluster1,1-99 cells,517,Top Input,Inhibition,top_input
TmY11,38,Cluster1,100-699 cells,Li03,38,Cluster1,1-99 cells,514,Top Input,Excitation,top_input
Li03,25,Cluster1,1-99 cells,Li17,25,Cluster7,1-99 cells,819,Top Output,Inhibition,top_output
Dm2,80,Cluster5,100-699 cells,MLt6,80,Cluster3,1-99 cells,1104,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,MLt6,35,Cluster3,1-99 cells,1059,Top Input,Inhibition,top_input
MLt6,23,Cluster3,1-99 cells,Sm13,23,Cluster3,1-99 cells,697,Top Output,Excitation,top_output
Tm33,26,Cluster1,1-99 cells,Tm5f,26,Cluster1,100-699 cells,2253,Top Output,Inhibition,top_output
LLPt,24,Cluster1,1-99 cells,Li02,24,Cluster1,1-99 cells,1926,Top Input,Inhibition,top_input
TmY5a,77,Cluster7,100-699 cells,Li02,77,Cluster1,1-99 cells,1843,Top Input,Inhibition,top_input
Li02,25,Cluster1,1-99 cells,Li30,25,Cluster1,1-99 cells,1468,Top Output,Excitation,top_output
Tm5b,42,Cluster1,100-699 cells,Li09,42,Cluster1,1-99 cells,2930,Top Input,Excitation,top_input
TmY9q⊥,39,Cluster2,100-699 cells,Li13,39,Cluster1,1-99 cells,1695,Top Input,Excitation,top_input
TmY9q,37,Cluster2,100-699 cells,Li13,37,Cluster1,1-99 cells,1679,Top Input,Excitation,top_input
Li13,23,Cluster1,1-99 cells,Tm5f,23,Cluster1,100-699 cells,3788,Top Output,Inhibition,top_output
Tm5d,37,Cluster1,100-699 cells,Tm31,37,Cluster3,1-99 cells,1565,Top Input,Inhibition,top_input
Tm31,25,Cluster3,1-99 cells,Tm5a,25,Cluster1,100-699 cells,978,Top Output,Inhibition,top_output
Tm5e,44,Cluster1,100-699 cells,Li10,44,Cluster1,1-99 cells,4137,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,Li05,50,Cluster1,1-99 cells,2616,Top Input,Excitation,top_input
Li05,29,Cluster1,1-99 cells,Li33,29,Cluster1,1-99 cells,3613,Top Output,Excitation,top_output
Tm5d,37,Cluster1,100-699 cells,Sm40,37,Cluster3,1-99 cells,3640,Top Input,Inhibition,top_input
Tm5d,37,Cluster1,100-699 cells,Sm40,37,Cluster3,1-99 cells,3640,Top Output,Inhibition,top_output
Tm5b,42,Cluster1,100-699 cells,Sm40,42,Cluster3,1-99 cells,3544,Top Input,Excitation,top_input
Sm40,20,Cluster3,1-99 cells,Sm42,20,Cluster1,1-99 cells,1030,Top Output,Inhibition,top_output
Sm40,20,Cluster3,1-99 cells,Tm5d,20,Cluster1,100-699 cells,1015,Top Output,Inhibition,top_output
Sm40,20,Cluster3,1-99 cells,Sm06,20,Cluster3,1-99 cells,1006,Top Output,Inhibition,top_output
Tm5b,42,Cluster1,100-699 cells,Tm5d,42,Cluster1,100-699 cells,4125,Top Input,Excitation,top_input
Tm5b,42,Cluster1,100-699 cells,Tm5d,42,Cluster1,100-699 cells,4125,Top Output,Excitation,top_output
Sm07,35,Cluster3,100-699 cells,Sm41,35,Cluster3,1-99 cells,2524,Top Input,Inhibition,top_input
Sm41,20,Cluster3,1-99 cells,Tm7,20,Cluster1,100-699 cells,1753,Top Output,Inhibition,top_output
Dm8b,40,Cluster6,100-699 cells,Tm5b,40,Cluster1,100-699 cells,5029,Top Input,Inhibition,top_input
Dm8b,40,Cluster6,100-699 cells,Sm01,40,Cluster3,100-699 cells,2371,Top Input,Inhibition,top_input
Sm01,34,Cluster3,100-699 cells,Sm07,34,Cluster3,100-699 cells,909,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,Li06,60,Cluster7,1-99 cells,5762,Top Input,Excitation,top_input
Li06,29,Cluster7,1-99 cells,LMa2,29,Cluster7,1-99 cells,4954,Top Output,Excitation,top_output
TmY5a,77,Cluster7,100-699 cells,Sm13,77,Cluster3,1-99 cells,879,Top Input,Inhibition,top_input
Sm13,22,Cluster3,1-99 cells,Tm7,22,Cluster1,100-699 cells,884,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T4d,100,Cluster12,700+ cells,29557,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi11,98,Cluster11,1-99 cells,15181,Top Output,Excitation,top_output
T4d,98,Cluster12,700+ cells,LPi11,98,Cluster11,1-99 cells,15181,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,TmY3,96,Cluster7,100-699 cells,17201,Top Input,Inhibition,top_input
Mi1,100,Cluster9,700+ cells,LMa5,100,Cluster7,1-99 cells,23841,Top Input,Excitation,top_input
LMa5,23,Cluster7,1-99 cells,Pm03,23,Cluster7,1-99 cells,19306,Top Output,Inhibition,top_output
Tm2,97,Cluster8,700+ cells,T5a,97,Cluster12,700+ cells,16186,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5a,95,Cluster12,700+ cells,16021,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19539,Top Output,Excitation,top_output
T5a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19539,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5b,95,Cluster12,700+ cells,15945,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5b,97,Cluster12,700+ cells,15155,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi15,96,Cluster11,1-99 cells,20029,Top Output,Excitation,top_output
T5b,96,Cluster12,700+ cells,LPi15,96,Cluster11,1-99 cells,20029,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LMt2,100,Cluster7,1-99 cells,21256,Top Input,Excitation,top_input
LMt2,23,Cluster7,1-99 cells,T2a,23,Cluster7,700+ cells,5134,Top Output,Inhibition,top_output
Tm9,95,Cluster12,700+ cells,T5d,95,Cluster12,700+ cells,16483,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPi11,93,Cluster11,1-99 cells,13104,Top Output,Excitation,top_output
L4,92,Cluster8,700+ cells,MLt3,92,Cluster7,1-99 cells,3368,Top Input,Excitation,top_input
MLt3,26,Cluster7,1-99 cells,Tm4,26,Cluster8,700+ cells,2252,Top Output,Excitation,top_output
T2a,100,Cluster7,700+ cells,Y4,100,Cluster7,1-99 cells,3698,Top Input,Excitation,top_input
Y4,28,Cluster7,1-99 cells,TmY14,28,Cluster7,100-699 cells,4726,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T4c,100,Cluster12,700+ cells,33637,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,LPi09,100,Cluster11,1-99 cells,20127,Top Output,Excitation,top_output
T5d,93,Cluster12,700+ cells,LPi13,93,Cluster11,1-99 cells,8175,Top Input,Excitation,top_input
LPi13,20,Cluster11,1-99 cells,TmY14,20,Cluster7,100-699 cells,7854,Top Output,Inhibition,top_output
T5a,94,Cluster12,700+ cells,Tlp5,94,Cluster11,1-99 cells,2982,Top Input,Excitation,top_input
Tlp5,23,Cluster11,1-99 cells,Li32,23,Cluster1,1-99 cells,2931,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T4b,100,Cluster12,700+ cells,28683,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi15,95,Cluster11,1-99 cells,18656,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,T4a,100,Cluster12,700+ cells,35045,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19833,Top Output,Excitation,top_output
T4a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19833,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMa3,92,Cluster7,1-99 cells,8949,Top Input,Excitation,top_input
LMa3,22,Cluster7,1-99 cells,T2a,22,Cluster7,700+ cells,3172,Top Output,Inhibition,top_output
CT1,20,Cluster12,1-99 cells,T5a,20,Cluster12,700+ cells,15343,Top Output,Inhibition,top_output
CT1,20,Cluster12,1-99 cells,T5b,20,Cluster12,700+ cells,14588,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,T2a,97,Cluster7,700+ cells,34647,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T2a,100,Cluster7,700+ cells,34086,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Sm32,97,Cluster1,1-99 cells,3435,Top Input,Inhibition,top_input
Sm32,23,Cluster1,1-99 cells,Dm12,23,Cluster5,100-699 cells,7994,Top Output,Inhibition,top_output
Mi4,96,Cluster1,700+ cells,Tm16,96,Cluster1,100-699 cells,13910,Top Input,Inhibition,top_input
Tm16,37,Cluster1,100-699 cells,Tm1,37,Cluster8,700+ cells,8360,Top Output,Excitation,top_output
Tm2,97,Cluster8,700+ cells,Pm09,97,Cluster7,1-99 cells,14261,Top Input,Excitation,top_input
Pm09,24,Cluster7,1-99 cells,Pm05,24,Cluster7,1-99 cells,10411,Top Output,Inhibition,top_output
T4d,98,Cluster12,700+ cells,Y12,98,Cluster11,1-99 cells,4933,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Y12,93,Cluster11,1-99 cells,4712,Top Input,Excitation,top_input
Y12,30,Cluster11,1-99 cells,TmY14,30,Cluster7,100-699 cells,7789,Top Output,Inhibition,top_output
L3,94,L3,700+ cells,Dm12,94,Cluster5,100-699 cells,19328,Top Input,Excitation,top_input
Dm12,31,Cluster5,100-699 cells,L3,31,L3,700+ cells,25199,Top Output,Inhibition,top_output
Dm12,31,Cluster5,100-699 cells,L3,31,L3,700+ cells,25199,Top Input,Inhibition,top_input
L1,99,Cluster9,700+ cells,Mi1,99,Cluster9,700+ cells,66243,Top Input,Inhibition,top_input
L1,99,Cluster9,700+ cells,Mi1,99,Cluster9,700+ cells,66243,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,87781,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,87781,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm20,94,Cluster5,1-99 cells,9167,Top Input,Excitation,top_input
Dm20,25,Cluster5,1-99 cells,Lawf1,25,Cluster13,100-699 cells,15215,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LMt4,92,Cluster7,1-99 cells,4327,Top Input,Excitation,top_input
LMt4,22,Cluster7,1-99 cells,LMa3,22,Cluster7,1-99 cells,4826,Top Output,Inhibition,top_output
LPi11,23,Cluster11,1-99 cells,Tlp14,23,Cluster11,1-99 cells,5401,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,T3,100,Cluster7,700+ cells,42739,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,Li17,100,Cluster7,1-99 cells,22658,Top Output,Excitation,top_output
T3,100,Cluster7,700+ cells,Li17,100,Cluster7,1-99 cells,22658,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm06,97,Cluster7,1-99 cells,16939,Top Input,Excitation,top_input
Pm06,22,Cluster7,1-99 cells,Tm1,22,Cluster8,700+ cells,10957,Top Output,Inhibition,top_output
Pm03,29,Cluster7,1-99 cells,Pm04,29,Cluster7,1-99 cells,13366,Top Output,Inhibition,top_output
Pm03,29,Cluster7,1-99 cells,Tm1,29,Cluster8,700+ cells,12777,Top Output,Inhibition,top_output
LMa5,23,Cluster7,1-99 cells,Mi13,23,Cluster7,100-699 cells,5990,Top Input,Inhibition,top_input
Mi13,55,Cluster7,100-699 cells,Tm1,55,Cluster8,700+ cells,15738,Top Output,Inhibition,top_output
L1,99,Cluster9,700+ cells,L5,99,Cluster9,700+ cells,60834,Top Input,Inhibition,top_input
L5,98,Cluster9,700+ cells,Tm3,98,Cluster9,700+ cells,31415,Top Output,Excitation,top_output
L5,98,Cluster9,700+ cells,Mi1,98,Cluster9,700+ cells,30869,Top Output,Excitation,top_output
Sm07,35,Cluster3,100-699 cells,Dm2,35,Cluster5,100-699 cells,12374,Top Input,Inhibition,top_input
Sm07,35,Cluster3,100-699 cells,Dm2,35,Cluster5,100-699 cells,12374,Top Output,Inhibition,top_output
C3,97,Cluster9,700+ cells,L2,97,Cluster8,700+ cells,44671,Top Input,Inhibition,top_input
C3,97,Cluster9,700+ cells,L2,97,Cluster8,700+ cells,44671,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Mi2,100,Cluster7,100-699 cells,8530,Top Input,Excitation,top_input
Mi2,63,Cluster7,100-699 cells,Tm21,63,Cluster7,100-699 cells,10218,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,Dm3p,97,Cluster2,100-699 cells,11622,Top Input,Excitation,top_input
Dm3p,70,Cluster2,100-699 cells,TmY9q,70,Cluster2,100-699 cells,7615,Top Output,Inhibition,top_output
Dm3p,70,Cluster2,100-699 cells,TmY9q,70,Cluster2,100-699 cells,7615,Top Input,Inhibition,top_input
LMt4,22,Cluster7,1-99 cells,LMa4,22,Cluster7,1-99 cells,2213,Top Input,Inhibition,top_input
T2,92,Cluster7,700+ cells,LMa4,92,Cluster7,1-99 cells,2128,Top Input,Excitation,top_input
LMa4,21,Cluster7,1-99 cells,T2a,21,Cluster7,700+ cells,812,Top Output,Inhibition,top_output
Tm1,97,Cluster8,700+ cells,Tm21,97,Cluster7,100-699 cells,20498,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,Li25,82,Cluster10,1-99 cells,5316,Top Output,Excitation,top_output
Tm21,82,Cluster7,100-699 cells,Li25,82,Cluster10,1-99 cells,5316,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3q,97,Cluster2,100-699 cells,11908,Top Input,Excitation,top_input
Dm3q,66,Cluster2,100-699 cells,TmY9q⊥,66,Cluster2,100-699 cells,7368,Top Output,Inhibition,top_output
Dm3q,66,Cluster2,100-699 cells,TmY9q⊥,66,Cluster2,100-699 cells,7368,Top Input,Inhibition,top_input
TmY9q,37,Cluster2,100-699 cells,Li28,37,Cluster1,1-99 cells,3471,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5464,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5256,Top Input,Excitation,top_input
TmY16,28,Cluster7,1-99 cells,Mi4,28,Cluster1,700+ cells,11499,Top Output,Inhibition,top_output
TmY9q⊥,39,Cluster2,100-699 cells,Li28,39,Cluster1,1-99 cells,4301,Top Output,Excitation,top_output
T5b,96,Cluster12,700+ cells,LPi10,96,Cluster11,1-99 cells,7544,Top Input,Excitation,top_input
