source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Li28,20,Cluster1,1-99 cells,Tm5f,20,Cluster1,100-699 cells,1813,Top Output,Inhibition,top_output
L5,98,Cluster9,700+ cells,Mi4,98,Cluster1,700+ cells,28371,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,Mi9,96,Cluster5,700+ cells,33577,Top Output,Inhibition,top_output
Tm5b,42,Cluster1,100-699 cells,LC6,42,Boundary,1-99 cells,3756,Top Input,Excitation,top_input
Tm5f,60,Cluster1,100-699 cells,LC13,60,Boundary,1-99 cells,2849,Top Input,Excitation,top_input
Li18,22,Cluster1,1-99 cells,Tm5f,22,Cluster1,100-699 cells,10452,Top Input,Inhibition,top_input
Li18,22,Cluster1,1-99 cells,Tm5f,22,Cluster1,100-699 cells,10452,Top Output,Inhibition,top_output
Tm5f,60,Cluster1,100-699 cells,LT79,60,Boundary,1-99 cells,8085,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,LT79,60,Boundary,1-99 cells,8085,Top Input,Excitation,top_input
Tm5f,60,Cluster1,100-699 cells,LC17,60,Boundary,100-699 cells,7825,Top Output,Excitation,top_output
Mi9,97,Cluster5,700+ cells,Mi10,97,Cluster1,100-699 cells,12397,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm10,96,Cluster7,1-99 cells,9922,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LLPt,50,Cluster1,1-99 cells,2868,Top Input,Excitation,top_input
LLPt,24,Cluster1,1-99 cells,TmY14,24,Cluster7,100-699 cells,3034,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,Li10,36,Cluster1,1-99 cells,11799,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Li10,36,Cluster1,1-99 cells,11799,Top Output,Excitation,top_output
Li10,29,Cluster1,1-99 cells,Li12,29,Cluster1,1-99 cells,2426,Top Output,Inhibition,top_output
Tm8a,32,Cluster1,100-699 cells,LT51,32,Boundary,1-99 cells,1322,Top Input,Excitation,top_input
Tm8a,32,Cluster1,100-699 cells,LT52,32,Boundary,1-99 cells,1599,Top Input,Excitation,top_input
Dm4,24,Cluster5,1-99 cells,Mi4,24,Cluster1,700+ cells,21929,Top Output,Inhibition,top_output
Tm27,76,Cluster7,100-699 cells,Mi4,76,Cluster1,700+ cells,3582,Top Output,Excitation,top_output
TmY31,36,Cluster1,100-699 cells,LC10b,36,Boundary,1-99 cells,3216,Top Input,Excitation,top_input
Li30,20,Cluster1,1-99 cells,TmY31,20,Cluster1,100-699 cells,6008,Top Input,Excitation,top_input
Li30,20,Cluster1,1-99 cells,TmY31,20,Cluster1,100-699 cells,6008,Top Output,Excitation,top_output
Li10,29,Cluster1,1-99 cells,Tm32,29,Cluster1,1-99 cells,1619,Top Input,Inhibition,top_input
Tm32,28,Cluster1,1-99 cells,TmY10,28,Cluster1,100-699 cells,1180,Top Output,Inhibition,top_output
LMt3,22,Cluster7,1-99 cells,Pm13,22,Cluster1,1-99 cells,1387,Top Input,Inhibition,top_input
Pm13,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,3486,Top Output,Inhibition,top_output
Sm15,25,Cluster3,1-99 cells,aMe17a2,25,Boundary,1-99 cells,110,Top Input,Inhibition,top_input
Li08,22,Cluster1,1-99 cells,cL06,22,Boundary,1-99 cells,91,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,Tm8b,97,Cluster1,1-99 cells,3237,Top Input,Inhibition,top_input
Tm8b,26,Cluster1,1-99 cells,Li33,26,Cluster1,1-99 cells,1604,Top Output,Excitation,top_output
Li13,23,Cluster1,1-99 cells,Li03,23,Cluster1,1-99 cells,517,Top Input,Inhibition,top_input
TmY11,38,Cluster1,100-699 cells,Li03,38,Cluster1,1-99 cells,514,Top Input,Excitation,top_input
Li03,25,Cluster1,1-99 cells,Li17,25,Cluster7,1-99 cells,819,Top Output,Inhibition,top_output
TmY11,38,Cluster1,100-699 cells,LC24,38,Boundary,1-99 cells,892,Top Input,Excitation,top_input
Tm5f,60,Cluster1,100-699 cells,LC10a,60,Boundary,100-699 cells,1128,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,MLt6,80,Cluster3,1-99 cells,1104,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,MLt6,35,Cluster3,1-99 cells,1059,Top Input,Inhibition,top_input
MLt6,23,Cluster3,1-99 cells,Sm13,23,Cluster3,1-99 cells,697,Top Output,Excitation,top_output
Tm8a,32,Cluster1,100-699 cells,LCe03,32,Boundary,1-99 cells,728,Top Input,Excitation,top_input
Tm33,26,Cluster1,1-99 cells,Tm5f,26,Cluster1,100-699 cells,2253,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,LTe42a,36,Boundary,1-99 cells,326,Top Input,Excitation,top_input
LLPt,24,Cluster1,1-99 cells,Li02,24,Cluster1,1-99 cells,1926,Top Input,Inhibition,top_input
TmY5a,77,Cluster7,100-699 cells,Li02,77,Cluster1,1-99 cells,1843,Top Input,Inhibition,top_input
Li02,25,Cluster1,1-99 cells,Li30,25,Cluster1,1-99 cells,1468,Top Output,Excitation,top_output
Tm5b,42,Cluster1,100-699 cells,Li09,42,Cluster1,1-99 cells,2930,Top Input,Excitation,top_input
Li09,23,Cluster1,1-99 cells,LC22,23,Boundary,1-99 cells,1959,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,LC37a,36,Boundary,1-99 cells,456,Top Input,Excitation,top_input
Li33,20,Cluster1,1-99 cells,LC37a,20,Boundary,1-99 cells,455,Top Input,Inhibition,top_input
TmY9q⊥,39,Cluster2,100-699 cells,Li13,39,Cluster1,1-99 cells,1695,Top Input,Excitation,top_input
TmY9q,37,Cluster2,100-699 cells,Li13,37,Cluster1,1-99 cells,1679,Top Input,Excitation,top_input
Li13,23,Cluster1,1-99 cells,Tm5f,23,Cluster1,100-699 cells,3788,Top Output,Inhibition,top_output
Tm5d,37,Cluster1,100-699 cells,Tm31,37,Cluster3,1-99 cells,1565,Top Input,Inhibition,top_input
Tm31,25,Cluster3,1-99 cells,Tm5a,25,Cluster1,100-699 cells,978,Top Output,Inhibition,top_output
Tm31,25,Cluster3,1-99 cells,LC10d,25,Boundary,1-99 cells,933,Top Output,Inhibition,top_output
Tm5e,44,Cluster1,100-699 cells,Li10,44,Cluster1,1-99 cells,4137,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,Li05,50,Cluster1,1-99 cells,2616,Top Input,Excitation,top_input
Li05,29,Cluster1,1-99 cells,Li33,29,Cluster1,1-99 cells,3613,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,LT77,60,Boundary,1-99 cells,1185,Top Input,Excitation,top_input
Tm5d,37,Cluster1,100-699 cells,Sm40,37,Cluster3,1-99 cells,3640,Top Input,Inhibition,top_input
Tm5d,37,Cluster1,100-699 cells,Sm40,37,Cluster3,1-99 cells,3640,Top Output,Inhibition,top_output
Tm5b,42,Cluster1,100-699 cells,Sm40,42,Cluster3,1-99 cells,3544,Top Input,Excitation,top_input
Sm40,20,Cluster3,1-99 cells,Sm42,20,Cluster1,1-99 cells,1030,Top Output,Inhibition,top_output
Sm40,20,Cluster3,1-99 cells,Tm5d,20,Cluster1,100-699 cells,1015,Top Output,Inhibition,top_output
Sm40,20,Cluster3,1-99 cells,Sm06,20,Cluster3,1-99 cells,1006,Top Output,Inhibition,top_output
Tm5b,42,Cluster1,100-699 cells,Tm5d,42,Cluster1,100-699 cells,4125,Top Input,Excitation,top_input
Tm5b,42,Cluster1,100-699 cells,Tm5d,42,Cluster1,100-699 cells,4125,Top Output,Excitation,top_output
Tm8a,32,Cluster1,100-699 cells,LC40,32,Boundary,1-99 cells,1233,Top Input,Excitation,top_input
Tm5b,42,Cluster1,100-699 cells,MTe35,42,Boundary,1-99 cells,1488,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,Sm41,35,Cluster3,1-99 cells,2524,Top Input,Inhibition,top_input
Sm41,20,Cluster3,1-99 cells,Tm7,20,Cluster1,100-699 cells,1753,Top Output,Inhibition,top_output
Dm8b,40,Cluster6,100-699 cells,Tm5b,40,Cluster1,100-699 cells,5029,Top Input,Inhibition,top_input
Dm8b,40,Cluster6,100-699 cells,Sm01,40,Cluster3,100-699 cells,2371,Top Input,Inhibition,top_input
Sm01,34,Cluster3,100-699 cells,Sm07,34,Cluster3,100-699 cells,909,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,Li06,60,Cluster7,1-99 cells,5762,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Sm13,77,Cluster3,1-99 cells,879,Top Input,Inhibition,top_input
Sm13,22,Cluster3,1-99 cells,Tm7,22,Cluster1,100-699 cells,884,Top Output,Inhibition,top_output
Mi4,96,Cluster1,700+ cells,TmY3,96,Cluster7,100-699 cells,17201,Top Input,Inhibition,top_input
Tlp5,23,Cluster11,1-99 cells,Li32,23,Cluster1,1-99 cells,2931,Top Output,Inhibition,top_output
Mi9,97,Cluster5,700+ cells,Sm32,97,Cluster1,1-99 cells,3435,Top Input,Inhibition,top_input
Sm32,23,Cluster1,1-99 cells,Dm12,23,Cluster5,100-699 cells,7994,Top Output,Inhibition,top_output
Mi4,96,Cluster1,700+ cells,Tm16,96,Cluster1,100-699 cells,13910,Top Input,Inhibition,top_input
Tm16,37,Cluster1,100-699 cells,Tm1,37,Cluster8,700+ cells,8360,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,LC9,60,Boundary,1-99 cells,2074,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,Dm2,35,Cluster5,100-699 cells,12374,Top Input,Inhibition,top_input
Sm07,35,Cluster3,100-699 cells,Dm2,35,Cluster5,100-699 cells,12374,Top Output,Inhibition,top_output
TmY9q,37,Cluster2,100-699 cells,Li28,37,Cluster1,1-99 cells,3471,Top Output,Excitation,top_output
TmY16,28,Cluster7,1-99 cells,Mi4,28,Cluster1,700+ cells,11499,Top Output,Inhibition,top_output
TmY9q⊥,39,Cluster2,100-699 cells,Li28,39,Cluster1,1-99 cells,4301,Top Output,Excitation,top_output
LPi05,24,Cluster11,1-99 cells,TmY31,24,Cluster1,100-699 cells,2874,Top Output,Inhibition,top_output
Dm2,80,Cluster5,100-699 cells,Sm15,80,Cluster3,1-99 cells,5684,Top Input,Excitation,top_input
Sm15,25,Cluster3,1-99 cells,MeTu1,25,Boundary,100-699 cells,4344,Top Output,Inhibition,top_output
Dm10,45,Cluster5,100-699 cells,Mi4,45,Cluster1,700+ cells,11505,Top Output,Inhibition,top_output
Dm2,80,Cluster5,100-699 cells,Sm07,80,Cluster3,100-699 cells,14823,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm18,80,Cluster3,1-99 cells,1481,Top Input,Excitation,top_input
Sm18,23,Cluster3,1-99 cells,Sm15,23,Cluster3,1-99 cells,822,Top Output,Inhibition,top_output
Sm18,23,Cluster3,1-99 cells,Sm09,23,Cluster3,1-99 cells,790,Top Output,Inhibition,top_output
Dm8a,38,Cluster6,100-699 cells,Sm20,38,Cluster3,1-99 cells,3156,Top Input,Inhibition,top_input
Sm20,23,Cluster3,1-99 cells,Dm8a,23,Cluster6,100-699 cells,7364,Top Output,Excitation,top_output
Sm20,23,Cluster3,1-99 cells,Dm8a,23,Cluster6,100-699 cells,7364,Top Input,Excitation,top_input
Sm20,23,Cluster3,1-99 cells,Dm8b,23,Cluster6,100-699 cells,7361,Top Output,Excitation,top_output
Sm20,23,Cluster3,1-99 cells,Dm8b,23,Cluster6,100-699 cells,7361,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm08,80,Cluster3,1-99 cells,7427,Top Input,Excitation,top_input
Sm08,28,Cluster3,1-99 cells,Sm15,28,Cluster3,1-99 cells,2829,Top Output,Inhibition,top_output
Mi9,97,Cluster5,700+ cells,Tm7,97,Cluster1,100-699 cells,6571,Top Input,Inhibition,top_input
Tm7,41,Cluster1,100-699 cells,TmY31,41,Cluster1,100-699 cells,2592,Top Output,Excitation,top_output
Dm2,80,Cluster5,100-699 cells,Sm06,80,Cluster3,1-99 cells,7733,Top Input,Excitation,top_input
Sm06,28,Cluster3,1-99 cells,Tm8a,28,Cluster1,100-699 cells,1808,Top Output,Inhibition,top_output
Dm2,80,Cluster5,100-699 cells,Sm21,80,Cluster3,1-99 cells,2305,Top Input,Excitation,top_input
Sm21,22,Cluster3,1-99 cells,Dm4,22,Cluster5,1-99 cells,2231,Top Output,Excitation,top_output
Dm2,80,Cluster5,100-699 cells,Sm19,80,Cluster3,1-99 cells,1834,Top Input,Excitation,top_input
Sm19,23,Cluster3,1-99 cells,Dm8a,23,Cluster6,100-699 cells,4891,Top Output,Excitation,top_output
Sm19,23,Cluster3,1-99 cells,Dm8b,23,Cluster6,100-699 cells,4822,Top Output,Excitation,top_output
Mi9,97,Cluster5,700+ cells,MLt5,97,Cluster1,1-99 cells,2411,Top Input,Inhibition,top_input
MLt5,24,Cluster1,1-99 cells,Sm04,24,Cluster1,1-99 cells,788,Top Output,Excitation,top_output
Tm20,94,Cluster1,700+ cells,Tm37,94,Cluster1,100-699 cells,3366,Top Input,Excitation,top_input
Tm37,31,Cluster1,100-699 cells,LC16,31,Boundary,1-99 cells,1870,Top Output,Excitation,top_output
Tm37,31,Cluster1,100-699 cells,LC6,31,Boundary,1-99 cells,1805,Top Output,Excitation,top_output
Sm42,20,Cluster1,1-99 cells,MTe01a,20,Boundary,1-99 cells,1515,Top Input,Inhibition,top_input
Sm12,24,Cluster3,1-99 cells,MeTu4a,24,Boundary,1-99 cells,1517,Top Input,Inhibition,top_input
Sm12,24,Cluster3,1-99 cells,MeTu4a,24,Boundary,1-99 cells,1517,Top Output,Inhibition,top_output
Dm8a,38,Cluster6,100-699 cells,Tm5a,38,Cluster1,100-699 cells,3138,Top Input,Inhibition,top_input
Tm5a,42,Cluster1,100-699 cells,LT58,42,Boundary,1-99 cells,5036,Top Output,Excitation,top_output
Tm5a,42,Cluster1,100-699 cells,LT58,42,Boundary,1-99 cells,5036,Top Input,Excitation,top_input
Dm8b,40,Cluster6,100-699 cells,Dm9,40,Cluster6,100-699 cells,6053,Top Output,Inhibition,top_output
TmY11,38,Cluster1,100-699 cells,Tm36,38,Cluster1,100-699 cells,2179,Top Input,Excitation,top_input
Tm36,34,Cluster1,100-699 cells,TmY5a,34,Cluster7,100-699 cells,2406,Top Output,Excitation,top_output
Dm8a,38,Cluster6,100-699 cells,Sm02,38,Cluster3,100-699 cells,4844,Top Input,Inhibition,top_input
Dm8a,38,Cluster6,100-699 cells,Sm02,38,Cluster3,100-699 cells,4844,Top Output,Inhibition,top_output
Sm02,40,Cluster3,100-699 cells,MTe33,40,Boundary,1-99 cells,1927,Top Output,Excitation,top_output
Sm02,40,Cluster3,100-699 cells,MTe33,40,Boundary,1-99 cells,1927,Top Input,Excitation,top_input
Tm5e,44,Cluster1,100-699 cells,Sm27,44,Cluster3,1-99 cells,903,Top Input,Inhibition,top_input
Sm27,21,Cluster3,1-99 cells,Dm2,21,Cluster5,100-699 cells,727,Top Output,Inhibition,top_output
Tm5c,51,Cluster1,100-699 cells,Mi15,51,Cluster5,100-699 cells,6714,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,MLt2,97,Cluster1,1-99 cells,2542,Top Input,Inhibition,top_input
MLt2,25,Cluster1,1-99 cells,Tm8a,25,Cluster1,100-699 cells,736,Top Output,Excitation,top_output
Mi9,97,Cluster5,700+ cells,Tm8a,97,Cluster1,100-699 cells,2921,Top Input,Inhibition,top_input
Tm8a,32,Cluster1,100-699 cells,Li10,32,Cluster1,1-99 cells,7771,Top Output,Excitation,top_output
LPi08,22,Cluster11,1-99 cells,TmY31,22,Cluster1,100-699 cells,688,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,LC14a2,36,Boundary,1-99 cells,605,Top Input,Excitation,top_input
Sm16,23,Cluster3,1-99 cells,MeTu1,23,Boundary,100-699 cells,7603,Top Output,Inhibition,top_output
Sm07,35,Cluster3,100-699 cells,aMe9,35,Boundary,1-99 cells,288,Top Input,Inhibition,top_input
Li02,25,Cluster1,1-99 cells,LC10e,25,Boundary,1-99 cells,469,Top Input,Excitation,top_input
Tm8a,32,Cluster1,100-699 cells,LC10e,32,Boundary,1-99 cells,464,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,LCe01b,94,Boundary,1-99 cells,2558,Top Input,Excitation,top_input
Li33,20,Cluster1,1-99 cells,LC27,20,Boundary,1-99 cells,414,Top Input,Inhibition,top_input
Li05,29,Cluster1,1-99 cells,LT76,29,Boundary,1-99 cells,261,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li30,50,Cluster1,1-99 cells,7486,Top Input,Excitation,top_input
Tm8a,32,Cluster1,100-699 cells,LC33a,32,Boundary,1-99 cells,229,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,LC36,36,Boundary,1-99 cells,558,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li32,50,Cluster1,1-99 cells,8381,Top Input,Excitation,top_input
Li32,20,Cluster1,1-99 cells,Y3,20,Cluster7,100-699 cells,4639,Top Output,Inhibition,top_output
Li05,29,Cluster1,1-99 cells,LTe21,29,Boundary,1-99 cells,521,Top Input,Excitation,top_input
Li33,20,Cluster1,1-99 cells,LTe58,20,Boundary,1-99 cells,481,Top Input,Inhibition,top_input
Tm35,26,Cluster1,1-99 cells,cL05,26,Boundary,1-99 cells,175,Top Input,Inhibition,top_input
Tm8a,32,Cluster1,100-699 cells,LTe42b,32,Boundary,1-99 cells,382,Top Input,Excitation,top_input
MLt4,24,Cluster7,1-99 cells,Tm16,24,Cluster1,100-699 cells,1975,Top Output,Excitation,top_output
Sm42,20,Cluster1,1-99 cells,Tm35,20,Cluster1,1-99 cells,2395,Top Input,Inhibition,top_input
Tm35,26,Cluster1,1-99 cells,LC13,26,Boundary,1-99 cells,2201,Top Output,Inhibition,top_output
Tm20,94,Cluster1,700+ cells,LC16,94,Boundary,1-99 cells,6083,Top Input,Excitation,top_input
Tm5f,60,Cluster1,100-699 cells,Li18,60,Cluster1,1-99 cells,6390,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,MeMe_e07,96,Boundary,1-99 cells,2868,Top Input,Inhibition,top_input
TmY31,36,Cluster1,100-699 cells,LT63,36,Boundary,1-99 cells,615,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li27,41,Cluster1,1-99 cells,3486,Top Input,Excitation,top_input
TmY9q⊥,39,Cluster2,100-699 cells,Li27,39,Cluster1,1-99 cells,3475,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Li27,77,Cluster1,1-99 cells,3348,Top Input,Inhibition,top_input
Li27,20,Cluster1,1-99 cells,LC15,20,Boundary,1-99 cells,2213,Top Output,Inhibition,top_output
Tm8a,32,Cluster1,100-699 cells,LTe17,32,Boundary,1-99 cells,328,Top Input,Excitation,top_input
Sm06,28,Cluster3,1-99 cells,MeTu4c,28,Boundary,1-99 cells,1173,Top Input,Inhibition,top_input
Sm02,40,Cluster3,100-699 cells,Sm36,40,Cluster3,1-99 cells,1761,Top Input,Excitation,top_input
Sm36,20,Cluster3,1-99 cells,Sm40,20,Cluster3,1-99 cells,1125,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,LT86,36,Boundary,1-99 cells,250,Top Input,Excitation,top_input
Li10,29,Cluster1,1-99 cells,cL14,29,Boundary,1-99 cells,81,Top Input,Inhibition,top_input
Tm5e,44,Cluster1,100-699 cells,LCe06,44,Boundary,1-99 cells,524,Top Input,Inhibition,top_input
Sm12,24,Cluster3,1-99 cells,MC65,24,Boundary,1-99 cells,697,Top Input,Inhibition,top_input
Tm36,34,Cluster1,100-699 cells,LC19,34,Boundary,1-99 cells,477,Top Input,Excitation,top_input
Mi15,68,Cluster5,100-699 cells,Sm03,68,Cluster3,1-99 cells,2060,Top Input,Excitation,top_input
Sm03,29,Cluster3,1-99 cells,Sm06,29,Cluster3,1-99 cells,617,Top Output,Inhibition,top_output
Dm8a,38,Cluster6,100-699 cells,AVLP534,38,Boundary,1-99 cells,69,Top Input,Inhibition,top_input
Sm16,23,Cluster3,1-99 cells,Sm38,23,Cluster3,1-99 cells,419,Top Input,Inhibition,top_input
Sm38,20,Cluster3,1-99 cells,MeTu1,20,Boundary,100-699 cells,2798,Top Output,Inhibition,top_output
Dm2,80,Cluster5,100-699 cells,Sm12,80,Cluster3,1-99 cells,1781,Top Input,Excitation,top_input
Tm5c,51,Cluster1,100-699 cells,aMe4,51,Boundary,1-99 cells,536,Top Input,Inhibition,top_input
L3,94,L3,700+ cells,Dm9,94,Cluster6,100-699 cells,14795,Top Input,Excitation,top_input
Dm9,33,Cluster6,100-699 cells,R7,33,Cluster6,100-699 cells,10479,Top Output,Excitation,top_output
Dm9,33,Cluster6,100-699 cells,R7,33,Cluster6,100-699 cells,10479,Top Input,Excitation,top_input
Dm8a,38,Cluster6,100-699 cells,MTe02,38,Boundary,1-99 cells,1090,Top Input,Inhibition,top_input
Dm8b,40,Cluster6,100-699 cells,Sm26,40,Cluster3,1-99 cells,705,Top Input,Inhibition,top_input
Sm26,21,Cluster3,1-99 cells,Dm8b,21,Cluster6,100-699 cells,4246,Top Output,Excitation,top_output
Sm12,24,Cluster3,1-99 cells,MLt7,24,Cluster3,1-99 cells,642,Top Input,Inhibition,top_input
MLt7,22,Cluster3,1-99 cells,MeTu4a,22,Boundary,1-99 cells,509,Top Output,Excitation,top_output
Tm7,41,Cluster1,100-699 cells,OA-ASM1,41,Boundary,1-99 cells,90,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,MTe46,96,Boundary,1-99 cells,134,Top Input,Inhibition,top_input
Li05,29,Cluster1,1-99 cells,LTe15,29,Boundary,1-99 cells,498,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,LTe42c,36,Boundary,1-99 cells,472,Top Input,Excitation,top_input
Tm8a,32,Cluster1,100-699 cells,LTe42c,32,Boundary,1-99 cells,470,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Li08,36,Cluster1,1-99 cells,219,Top Input,Excitation,top_input
Li08,22,Cluster1,1-99 cells,Li10,22,Cluster1,1-99 cells,2165,Top Output,Inhibition,top_output
Li05,29,Cluster1,1-99 cells,cL16,29,Boundary,1-99 cells,816,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li29,50,Cluster1,1-99 cells,1035,Top Input,Excitation,top_input
Li29,20,Cluster1,1-99 cells,Y3,20,Cluster7,100-699 cells,2010,Top Output,Inhibition,top_output
Tm20,94,Cluster1,700+ cells,Sm22,94,Cluster1,1-99 cells,6666,Top Input,Excitation,top_input
Sm22,22,Cluster1,1-99 cells,Tm20,22,Cluster1,700+ cells,5080,Top Output,Inhibition,top_output
Tm20,94,Cluster1,700+ cells,cM07,94,Boundary,1-99 cells,2312,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Li12,94,Cluster1,1-99 cells,11260,Top Input,Excitation,top_input
Li12,22,Cluster1,1-99 cells,LC22,22,Boundary,1-99 cells,1027,Top Output,Inhibition,top_output
Li12,22,Cluster1,1-99 cells,LPLC1,22,Boundary,1-99 cells,1005,Top Output,Inhibition,top_output
Tm5f,60,Cluster1,100-699 cells,LTe12,60,Boundary,1-99 cells,684,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,MTe51,94,Boundary,1-99 cells,2618,Top Input,Excitation,top_input
