source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
TmY11,38,Cluster1,100-699 cells,Li03,38,Cluster1,1-99 cells,514,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,MLt6,80,Cluster3,1-99 cells,1104,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,MLt6,35,Cluster3,1-99 cells,1059,Top Input,Inhibition,top_input
LLPt,24,Cluster1,1-99 cells,Li02,24,Cluster1,1-99 cells,1926,Top Input,Inhibition,top_input
TmY5a,77,Cluster7,100-699 cells,Li02,77,Cluster1,1-99 cells,1843,Top Input,Inhibition,top_input
Tm5b,42,Cluster1,100-699 cells,Li09,42,Cluster1,1-99 cells,2930,Top Input,Excitation,top_input
TmY9q⊥,39,Cluster2,100-699 cells,Li13,39,Cluster1,1-99 cells,1695,Top Input,Excitation,top_input
TmY9q,37,Cluster2,100-699 cells,Li13,37,Cluster1,1-99 cells,1679,Top Input,Excitation,top_input
Tm5d,37,Cluster1,100-699 cells,Tm31,37,Cluster3,1-99 cells,1565,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,Li05,50,Cluster1,1-99 cells,2616,Top Input,Excitation,top_input
Tm5d,37,Cluster1,100-699 cells,Sm40,37,Cluster3,1-99 cells,3640,Top Input,Inhibition,top_input
Tm5b,42,Cluster1,100-699 cells,Sm40,42,Cluster3,1-99 cells,3544,Top Input,Excitation,top_input
Tm5b,42,Cluster1,100-699 cells,Tm5d,42,Cluster1,100-699 cells,4125,Top Input,Excitation,top_input
Sm07,35,Cluster3,100-699 cells,Sm41,35,Cluster3,1-99 cells,2524,Top Input,Inhibition,top_input
Dm8b,40,Cluster6,100-699 cells,Tm5b,40,Cluster1,100-699 cells,5029,Top Input,Inhibition,top_input
Dm8b,40,Cluster6,100-699 cells,Sm01,40,Cluster3,100-699 cells,2371,Top Input,Inhibition,top_input
Tm5f,60,Cluster1,100-699 cells,Li06,60,Cluster7,1-99 cells,5762,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Sm13,77,Cluster3,1-99 cells,879,Top Input,Inhibition,top_input
Mi1,100,Cluster9,700+ cells,T4d,100,Cluster12,700+ cells,29557,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi11,98,Cluster11,1-99 cells,15181,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,TmY3,96,Cluster7,100-699 cells,17201,Top Input,Inhibition,top_input
Mi1,100,Cluster9,700+ cells,LMa5,100,Cluster7,1-99 cells,23841,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5a,97,Cluster12,700+ cells,16186,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5a,95,Cluster12,700+ cells,16021,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19539,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5b,95,Cluster12,700+ cells,15945,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T5b,97,Cluster12,700+ cells,15155,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi15,96,Cluster11,1-99 cells,20029,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LMt2,100,Cluster7,1-99 cells,21256,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5d,95,Cluster12,700+ cells,16483,Top Input,Excitation,top_input
L4,92,Cluster8,700+ cells,MLt3,92,Cluster7,1-99 cells,3368,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,Y4,100,Cluster7,1-99 cells,3698,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4c,100,Cluster12,700+ cells,33637,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPi13,93,Cluster11,1-99 cells,8175,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Tlp5,94,Cluster11,1-99 cells,2982,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4b,100,Cluster12,700+ cells,28683,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T4a,100,Cluster12,700+ cells,35045,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPi14,94,Cluster11,1-99 cells,19833,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMa3,92,Cluster7,1-99 cells,8949,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,T2a,97,Cluster7,700+ cells,34647,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T2a,100,Cluster7,700+ cells,34086,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Sm32,97,Cluster1,1-99 cells,3435,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Tm16,96,Cluster1,100-699 cells,13910,Top Input,Inhibition,top_input
Tm2,97,Cluster8,700+ cells,Pm09,97,Cluster7,1-99 cells,14261,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,Y12,98,Cluster11,1-99 cells,4933,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Y12,93,Cluster11,1-99 cells,4712,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm12,94,Cluster5,100-699 cells,19328,Top Input,Excitation,top_input
Dm12,31,Cluster5,100-699 cells,L3,31,L3,700+ cells,25199,Top Input,Inhibition,top_input
L1,99,Cluster9,700+ cells,Mi1,99,Cluster9,700+ cells,66243,Top Input,Inhibition,top_input
Mi1,100,Cluster9,700+ cells,Pm01,100,Cluster7,100-699 cells,87781,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm20,94,Cluster5,1-99 cells,9167,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMt4,92,Cluster7,1-99 cells,4327,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,T3,100,Cluster7,700+ cells,42739,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,Li17,100,Cluster7,1-99 cells,22658,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm06,97,Cluster7,1-99 cells,16939,Top Input,Excitation,top_input
LMa5,23,Cluster7,1-99 cells,Mi13,23,Cluster7,100-699 cells,5990,Top Input,Inhibition,top_input
L1,99,Cluster9,700+ cells,L5,99,Cluster9,700+ cells,60834,Top Input,Inhibition,top_input
Sm07,35,Cluster3,100-699 cells,Dm2,35,Cluster5,100-699 cells,12374,Top Input,Inhibition,top_input
C3,97,Cluster9,700+ cells,L2,97,Cluster8,700+ cells,44671,Top Input,Inhibition,top_input
Mi1,100,Cluster9,700+ cells,Mi2,100,Cluster7,100-699 cells,8530,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3p,97,Cluster2,100-699 cells,11622,Top Input,Excitation,top_input
Dm3p,70,Cluster2,100-699 cells,TmY9q,70,Cluster2,100-699 cells,7615,Top Input,Inhibition,top_input
LMt4,22,Cluster7,1-99 cells,LMa4,22,Cluster7,1-99 cells,2213,Top Input,Inhibition,top_input
T2,92,Cluster7,700+ cells,LMa4,92,Cluster7,1-99 cells,2128,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Tm21,97,Cluster7,100-699 cells,20498,Top Input,Excitation,top_input
Tm21,82,Cluster7,100-699 cells,Li25,82,Cluster10,1-99 cells,5316,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3q,97,Cluster2,100-699 cells,11908,Top Input,Excitation,top_input
Dm3q,66,Cluster2,100-699 cells,TmY9q⊥,66,Cluster2,100-699 cells,7368,Top Input,Inhibition,top_input
Tm1,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5464,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,TmY16,97,Cluster7,1-99 cells,5256,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi10,96,Cluster11,1-99 cells,7544,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi10,95,Cluster11,1-99 cells,7217,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,TmY15,93,Cluster7,100-699 cells,16669,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,TmY15,100,Cluster7,100-699 cells,16294,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi12,95,Cluster11,1-99 cells,4719,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,LPi05,96,Cluster11,1-99 cells,8052,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,LPi05,95,Cluster11,1-99 cells,7741,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,Am1,96,Cluster11,1-99 cells,11602,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Y1,94,Cluster11,1-99 cells,9282,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,TmY20,94,Cluster11,100-699 cells,7747,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,TmY20,94,Cluster11,100-699 cells,7531,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Li14,94,Cluster12,1-99 cells,5257,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPi01,94,Cluster11,1-99 cells,953,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPi01,94,Cluster11,1-99 cells,932,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPi02,94,Cluster11,1-99 cells,1077,Top Input,Excitation,top_input
L1,99,Cluster9,700+ cells,C3,99,Cluster9,700+ cells,32836,Top Input,Inhibition,top_input
T2,92,Cluster7,700+ cells,LMa1,92,Cluster7,1-99 cells,6194,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm15,80,Cluster3,1-99 cells,5684,Top Input,Excitation,top_input
L5,98,Cluster9,700+ cells,Dm10,98,Cluster5,100-699 cells,20902,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm07,80,Cluster3,100-699 cells,14823,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm18,80,Cluster3,1-99 cells,1481,Top Input,Excitation,top_input
Dm8a,38,Cluster6,100-699 cells,Sm20,38,Cluster3,1-99 cells,3156,Top Input,Inhibition,top_input
Sm20,23,Cluster3,1-99 cells,Dm8a,23,Cluster6,100-699 cells,7364,Top Input,Excitation,top_input
Sm20,23,Cluster3,1-99 cells,Dm8b,23,Cluster6,100-699 cells,7361,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm08,80,Cluster3,1-99 cells,7427,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Tm7,97,Cluster1,100-699 cells,6571,Top Input,Inhibition,top_input
Dm2,80,Cluster5,100-699 cells,Sm06,80,Cluster3,1-99 cells,7733,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm21,80,Cluster3,1-99 cells,2305,Top Input,Excitation,top_input
Dm2,80,Cluster5,100-699 cells,Sm19,80,Cluster3,1-99 cells,1834,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,MLt5,97,Cluster1,1-99 cells,2411,Top Input,Inhibition,top_input
Tm20,94,Cluster1,700+ cells,Tm37,94,Cluster1,100-699 cells,3366,Top Input,Excitation,top_input
Dm8a,38,Cluster6,100-699 cells,Tm5a,38,Cluster1,100-699 cells,3138,Top Input,Inhibition,top_input
TmY11,38,Cluster1,100-699 cells,Tm36,38,Cluster1,100-699 cells,2179,Top Input,Excitation,top_input
Dm8a,38,Cluster6,100-699 cells,Sm02,38,Cluster3,100-699 cells,4844,Top Input,Inhibition,top_input
Tm5e,44,Cluster1,100-699 cells,Sm27,44,Cluster3,1-99 cells,903,Top Input,Inhibition,top_input
Tm2,97,Cluster8,700+ cells,Dm16,97,Cluster8,1-99 cells,3255,Top Input,Excitation,top_input
Tm5c,51,Cluster1,100-699 cells,Mi15,51,Cluster5,100-699 cells,6714,Top Input,Inhibition,top_input
Sm30,21,Cluster4,1-99 cells,Mi15,21,Cluster5,100-699 cells,6594,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,MLt2,97,Cluster1,1-99 cells,2542,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,Tm8a,97,Cluster1,100-699 cells,2921,Top Input,Inhibition,top_input
T4d,98,Cluster12,700+ cells,Tlp1,98,Cluster11,1-99 cells,7746,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Tlp1,93,Cluster11,1-99 cells,7509,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi08,97,Cluster11,1-99 cells,1325,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPi06,93,Cluster11,1-99 cells,1132,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi06,98,Cluster11,1-99 cells,1109,Top Input,Excitation,top_input
R1-6,100,Cluster13,700+ cells,L1,100,Cluster9,700+ cells,40826,Top Input,Excitation,top_input
Mi15,68,Cluster5,100-699 cells,Sm30,68,Cluster4,1-99 cells,2693,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Dm15,99,Cluster8,100-699 cells,19089,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMt3,92,Cluster7,1-99 cells,1531,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Tm25,100,Cluster7,100-699 cells,9729,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Pm11,97,Cluster8,1-99 cells,11995,Top Input,Excitation,top_input
Sm25,21,Cluster3,1-99 cells,Sm16,21,Cluster3,1-99 cells,537,Top Input,Inhibition,top_input
Dm2,80,Cluster5,100-699 cells,Sm37,80,Cluster3,1-99 cells,426,Top Input,Excitation,top_input
Mi15,68,Cluster5,100-699 cells,Sm10,68,Cluster3,1-99 cells,1093,Top Input,Excitation,top_input
Tm8b,26,Cluster1,1-99 cells,Li04,26,Cluster1,1-99 cells,284,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li30,50,Cluster1,1-99 cells,7486,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li32,50,Cluster1,1-99 cells,8381,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,Li24,92,Cluster7,1-99 cells,3782,Top Input,Excitation,top_input
Pm08,26,Cluster7,1-99 cells,MLt4,26,Cluster7,1-99 cells,3210,Top Input,Inhibition,top_input
L1,99,Cluster9,700+ cells,Tm3,99,Cluster9,700+ cells,43094,Top Input,Inhibition,top_input
Tm2,97,Cluster8,700+ cells,Li26,97,Cluster8,1-99 cells,4330,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,Li26,93,Cluster8,1-99 cells,4124,Top Input,Excitation,top_input
LMa2,22,Cluster7,1-99 cells,LMt1,22,Cluster7,1-99 cells,1714,Top Input,Inhibition,top_input
Li31,20,Cluster7,1-99 cells,LMt1,20,Cluster7,1-99 cells,1694,Top Input,Inhibition,top_input
L5,98,Cluster9,700+ cells,Dm18,98,Cluster9,1-99 cells,23286,Top Input,Excitation,top_input
Sm42,20,Cluster1,1-99 cells,Tm35,20,Cluster1,1-99 cells,2395,Top Input,Inhibition,top_input
Tm5f,60,Cluster1,100-699 cells,Li18,60,Cluster1,1-99 cells,6390,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Li22,97,Cluster8,1-99 cells,7415,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Pm04,97,Cluster7,1-99 cells,22565,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,Li20,93,Cluster7,1-99 cells,1131,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Dm6,99,Cluster8,1-99 cells,37946,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,LMa2,92,Cluster7,1-99 cells,9905,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li27,41,Cluster1,1-99 cells,3486,Top Input,Excitation,top_input
TmY9q⊥,39,Cluster2,100-699 cells,Li27,39,Cluster1,1-99 cells,3475,Top Input,Excitation,top_input
TmY5a,77,Cluster7,100-699 cells,Li27,77,Cluster1,1-99 cells,3348,Top Input,Inhibition,top_input
L4,92,Cluster8,700+ cells,MLt1,92,Cluster7,1-99 cells,1591,Top Input,Excitation,top_input
Sm02,40,Cluster3,100-699 cells,Sm36,40,Cluster3,1-99 cells,1761,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Sm05,100,Cluster5,1-99 cells,1668,Top Input,Excitation,top_input
L1,99,Cluster9,700+ cells,C2,99,Cluster9,700+ cells,21958,Top Input,Inhibition,top_input
L2,99,Cluster8,700+ cells,Dm17,99,Cluster8,1-99 cells,8359,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Pm12,97,Cluster8,1-99 cells,18331,Top Input,Excitation,top_input
Mi15,68,Cluster5,100-699 cells,Sm03,68,Cluster3,1-99 cells,2060,Top Input,Excitation,top_input
Pm09,24,Cluster7,1-99 cells,PDt,24,Cluster7,1-99 cells,967,Top Input,Inhibition,top_input
Sm16,23,Cluster3,1-99 cells,Sm38,23,Cluster3,1-99 cells,419,Top Input,Inhibition,top_input
Sm28,20,Cluster4,1-99 cells,DmDRA1,20,Cluster4,1-99 cells,1676,Top Input,Excitation,top_input
Sm03,29,Cluster3,1-99 cells,Sm34,29,Cluster3,1-99 cells,394,Top Input,Inhibition,top_input
Dm2,80,Cluster5,100-699 cells,Sm12,80,Cluster3,1-99 cells,1781,Top Input,Excitation,top_input
L5,98,Cluster9,700+ cells,Dm13,98,Cluster8,1-99 cells,14363,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,Dm13,97,Cluster8,1-99 cells,14148,Top Input,Excitation,top_input
L5,98,Cluster9,700+ cells,Dm1,98,Cluster9,1-99 cells,15633,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,T1,99,Cluster8,700+ cells,48944,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm9,94,Cluster6,100-699 cells,14795,Top Input,Excitation,top_input
Dm9,33,Cluster6,100-699 cells,R7,33,Cluster6,100-699 cells,10479,Top Input,Excitation,top_input
Dm8b,40,Cluster6,100-699 cells,Sm26,40,Cluster3,1-99 cells,705,Top Input,Inhibition,top_input
C2,94,Cluster9,700+ cells,L4,94,Cluster8,700+ cells,5544,Top Input,Inhibition,top_input
Sm12,24,Cluster3,1-99 cells,MLt7,24,Cluster3,1-99 cells,642,Top Input,Inhibition,top_input
TmY31,36,Cluster1,100-699 cells,Li08,36,Cluster1,1-99 cells,219,Top Input,Excitation,top_input
L4,92,Cluster8,700+ cells,Dm14,92,Cluster8,1-99 cells,6705,Top Input,Excitation,top_input
L4,92,Cluster8,700+ cells,R1-6,92,Cluster13,700+ cells,3395,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li29,50,Cluster1,1-99 cells,1035,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Sm22,94,Cluster1,1-99 cells,6666,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Li12,94,Cluster1,1-99 cells,11260,Top Input,Excitation,top_input
MLt5,24,Cluster1,1-99 cells,Sm14,24,Cluster3,1-99 cells,313,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Dm19,99,Cluster8,1-99 cells,22391,Top Input,Excitation,top_input
Tm5a,42,Cluster1,100-699 cells,Sm31,42,Cluster3,1-99 cells,2106,Top Input,Excitation,top_input
Mi15,68,Cluster5,100-699 cells,Sm39,68,Cluster4,1-99 cells,1591,Top Input,Excitation,top_input
Sm02,40,Cluster3,100-699 cells,Sm35,40,Cluster3,1-99 cells,654,Top Input,Excitation,top_input
Sm12,24,Cluster3,1-99 cells,MLt8,24,Cluster3,1-99 cells,142,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,Sm04,97,Cluster1,1-99 cells,1353,Top Input,Inhibition,top_input
Li27,20,Cluster1,1-99 cells,Tm34,20,Cluster1,1-99 cells,363,Top Input,Inhibition,top_input
Tm21,82,Cluster7,100-699 cells,Li19,82,Cluster10,1-99 cells,4555,Top Input,Excitation,top_input
Li05,29,Cluster1,1-99 cells,Li07,29,Cluster1,1-99 cells,262,Top Input,Excitation,top_input
DmDRA1,23,Cluster4,1-99 cells,Sm23,23,Cluster4,1-99 cells,461,Top Input,Inhibition,top_input
Dm9,33,Cluster6,100-699 cells,R8,33,Cluster6,100-699 cells,9055,Top Input,Excitation,top_input
Sm21,22,Cluster3,1-99 cells,Dm11,22,Cluster6,1-99 cells,1969,Top Input,Excitation,top_input
